TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.01;0.02;0.03;0.04;0.052;0.063;0.072;0.08;0.086;0.092;0.093;0.095;0.097;0.098;0.099;0.1;0.101;0.101;0.086;0.071;0.058;0.045;0.035;0.026;0.019;0.013;0.009;0.005;0.003;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0.02;0.04;0.061;0.081;0.103;0.125;0.143;0.161;0.172;0.183;0.187;0.19;0.193;0.196;0.198;0.199;0.201;0.203;0.173;0.143;0.116;0.09;0.071;0.051;0.038;0.025;0.018;0.01;0.006;0.003;0.002;0.002;0.002;0.002;0.001;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0.03;0.061;0.091;0.121;0.155;0.188;0.215;0.241;0.258;0.275;0.28;0.285;0.29;0.294;0.297;0.299;0.302;0.304;0.259;0.214;0.175;0.135;0.106;0.077;0.058;0.038;0.027;0.015;0.01;0.004;0.004;0.003;0.003;0.002;0.002;0.002;0.001;0.001;0;0;0;0;0;0;0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0;0;0;0;0;0;0;0
4;0;0.04;0.081;0.121;0.161;0.206;0.251;0.286;0.321;0.344;0.367;0.373;0.38;0.386;0.392;0.395;0.399;0.402;0.405;0.345;0.285;0.233;0.18;0.141;0.103;0.077;0.051;0.035;0.02;0.013;0.005;0.005;0.004;0.004;0.003;0.003;0.002;0.002;0.001;0.001;0;0;0;0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0;0;0;0;0
5;0;0.05;0.101;0.151;0.202;0.257;0.313;0.358;0.402;0.43;0.458;0.467;0.475;0.483;0.49;0.494;0.498;0.502;0.507;0.432;0.357;0.291;0.225;0.177;0.128;0.096;0.063;0.044;0.025;0.016;0.007;0.006;0.005;0.005;0.004;0.003;0.003;0.002;0.001;0.001;0;0;0;0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0;0;0;0
6;0;0.061;0.121;0.182;0.242;0.309;0.376;0.429;0.482;0.516;0.55;0.56;0.57;0.579;0.588;0.593;0.598;0.603;0.608;0.518;0.428;0.349;0.27;0.212;0.154;0.115;0.076;0.053;0.03;0.019;0.008;0.007;0.006;0.006;0.005;0.004;0.003;0.002;0.002;0.001;0;0;0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0;0;0
7;0;0.071;0.141;0.212;0.282;0.361;0.439;0.5;0.562;0.602;0.642;0.653;0.665;0.676;0.686;0.692;0.698;0.704;0.709;0.604;0.499;0.407;0.315;0.247;0.18;0.134;0.089;0.062;0.035;0.022;0.009;0.008;0.007;0.007;0.006;0.005;0.004;0.003;0.002;0.001;0;0;0;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0;0
8;0;0.081;0.161;0.242;0.323;0.412;0.501;0.572;0.643;0.688;0.733;0.747;0.76;0.772;0.784;0.791;0.797;0.804;0.811;0.691;0.571;0.465;0.36;0.283;0.205;0.153;0.101;0.071;0.04;0.025;0.011;0.01;0.009;0.007;0.006;0.005;0.004;0.003;0.002;0.001;0;0;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.002;-0.002;-0.003;-0.003;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0
9;0;0.091;0.182;0.272;0.363;0.463;0.564;0.644;0.723;0.774;0.825;0.84;0.855;0.869;0.882;0.89;0.897;0.905;0.912;0.777;0.642;0.524;0.405;0.318;0.231;0.173;0.114;0.079;0.045;0.028;0.012;0.011;0.01;0.008;0.007;0.006;0.005;0.004;0.002;0.001;0;0;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.002;-0.003;-0.003;-0.003;-0.003;-0.003;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0
