TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.008;0.016;0.023;0.031;0.045;0.06;0.076;0.091;0.106;0.121;0.132;0.142;0.154;0.165;0.175;0.185;0.196;0.207;0.209;0.21;0.21;0.209;0.211;0.213;0.215;0.217;0.217;0.217;0.213;0.21;0.209;0.208;0.208;0.207;0.207;0.206;0.205;0.205;0.204;0.204;0.203;0.202;0.202;0.201;0.2;0.2;0.199;0.198;0.198;0.197;0.195;0.194;0.192;0.19;0.188;0.187;0.185;0.183;0.181;0.18;0.178;0.176;0.174;0.173;0.171;0.169;0.167;0.166;0.164;0.162
2;0;0.016;0.031;0.047;0.062;0.091;0.119;0.151;0.183;0.212;0.241;0.263;0.285;0.307;0.329;0.35;0.371;0.392;0.414;0.417;0.42;0.419;0.419;0.422;0.426;0.43;0.433;0.433;0.433;0.426;0.419;0.418;0.417;0.416;0.415;0.413;0.412;0.411;0.41;0.409;0.407;0.406;0.405;0.403;0.402;0.401;0.399;0.398;0.397;0.395;0.394;0.391;0.387;0.384;0.38;0.377;0.373;0.37;0.366;0.363;0.359;0.356;0.352;0.349;0.345;0.342;0.338;0.335;0.331;0.328;0.324
3;0;0.023;0.047;0.07;0.093;0.136;0.179;0.227;0.274;0.318;0.362;0.395;0.427;0.461;0.494;0.525;0.556;0.589;0.621;0.626;0.63;0.629;0.628;0.634;0.639;0.645;0.65;0.65;0.65;0.64;0.629;0.627;0.625;0.624;0.622;0.62;0.618;0.616;0.615;0.613;0.611;0.609;0.607;0.605;0.603;0.601;0.599;0.597;0.595;0.593;0.591;0.586;0.581;0.575;0.57;0.565;0.56;0.554;0.549;0.544;0.539;0.533;0.528;0.523;0.518;0.512;0.507;0.502;0.497;0.491;0.486
4;0;0.031;0.062;0.093;0.124;0.181;0.239;0.302;0.365;0.424;0.483;0.526;0.569;0.614;0.659;0.7;0.741;0.785;0.828;0.834;0.84;0.839;0.837;0.845;0.852;0.859;0.867;0.867;0.867;0.853;0.839;0.836;0.834;0.831;0.829;0.827;0.824;0.822;0.819;0.817;0.815;0.812;0.809;0.807;0.804;0.801;0.799;0.796;0.793;0.791;0.788;0.781;0.774;0.767;0.76;0.753;0.746;0.739;0.732;0.725;0.718;0.711;0.704;0.697;0.69;0.683;0.676;0.669;0.662;0.655;0.648
5;0;0.039;0.078;0.116;0.155;0.227;0.298;0.378;0.457;0.53;0.603;0.658;0.712;0.768;0.823;0.875;0.927;0.981;1.035;1.043;1.05;1.048;1.047;1.056;1.065;1.074;1.083;1.083;1.083;1.066;1.048;1.045;1.042;1.039;1.036;1.033;1.03;1.027;1.024;1.021;1.018;1.015;1.012;1.008;1.005;1.002;0.998;0.995;0.992;0.988;0.985;0.976;0.968;0.959;0.95;0.941;0.933;0.924;0.915;0.906;0.898;0.889;0.88;0.871;0.863;0.854;0.845;0.836;0.828;0.819;0.81
6;0;0.047;0.093;0.14;0.186;0.272;0.358;0.453;0.548;0.636;0.724;0.789;0.854;0.921;0.988;1.05;1.112;1.177;1.242;1.251;1.26;1.258;1.256;1.267;1.278;1.289;1.3;1.3;1.3;1.279;1.258;1.254;1.251;1.247;1.244;1.24;1.236;1.233;1.229;1.226;1.222;1.218;1.214;1.21;1.206;1.202;1.198;1.194;1.19;1.186;1.182;1.172;1.161;1.151;1.14;1.13;1.119;1.109;1.098;1.088;1.077;1.067;1.056;1.046;1.035;1.025;1.014;1.004;0.993;0.983;0.972
7;0;0.054;0.109;0.163;0.217;0.317;0.418;0.529;0.639;0.742;0.845;0.921;0.996;1.075;1.153;1.225;1.297;1.373;1.449;1.46;1.47;1.468;1.465;1.478;1.491;1.504;1.517;1.517;1.517;1.492;1.468;1.463;1.459;1.455;1.451;1.447;1.442;1.438;1.434;1.43;1.426;1.421;1.416;1.412;1.407;1.402;1.398;1.393;1.388;1.384;1.379;1.367;1.355;1.342;1.33;1.318;1.305;1.293;1.281;1.269;1.257;1.244;1.232;1.22;1.208;1.195;1.183;1.171;1.159;1.146;1.134
8;0;0.062;0.124;0.186;0.248;0.363;0.477;0.604;0.731;0.848;0.965;1.052;1.139;1.228;1.317;1.4;1.483;1.569;1.656;1.668;1.68;1.677;1.675;1.689;1.704;1.719;1.733;1.733;1.733;1.705;1.677;1.673;1.668;1.663;1.658;1.653;1.649;1.644;1.639;1.634;1.629;1.624;1.619;1.613;1.608;1.603;1.597;1.592;1.587;1.581;1.576;1.562;1.548;1.534;1.52;1.506;1.492;1.478;1.464;1.45;1.436;1.422;1.408;1.394;1.38;1.366;1.352;1.338;1.324;1.31;1.296
9;0;0.07;0.14;0.209;0.279;0.408;0.537;0.68;0.822;0.954;1.086;1.184;1.281;1.382;1.482;1.575;1.668;1.765;1.863;1.877;1.89;1.887;1.884;1.9;1.917;1.934;1.95;1.95;1.95;1.918;1.887;1.882;1.876;1.871;1.865;1.86;1.855;1.849;1.844;1.838;1.833;1.827;1.821;1.815;1.809;1.803;1.797;1.791;1.785;1.779;1.773;1.757;1.741;1.726;1.71;1.694;1.678;1.663;1.647;1.631;1.616;1.6;1.584;1.568;1.553;1.537;1.521;1.505;1.49;1.474;1.458
