TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.02;0.04;0.061;0.081;0.104;0.126;0.144;0.162;0.173;0.184;0.188;0.191;0.194;0.197;0.199;0.2;0.202;0.204;0.205;0.207;0.207;0.206;0.208;0.21;0.212;0.213;0.213;0.213;0.21;0.207;0.206;0.205;0.205;0.204;0.204;0.203;0.202;0.202;0.201;0.2;0.199;0.198;0.197;0.196;0.196;0.195;0.194;0.193;0.192;0.191;0.189;0.187;0.185;0.183;0.181;0.179;0.177;0.175;0.173;0.171;0.169;0.167;0.165;0.163;0.161;0.159;0.157;0.155;0.153;0.151
2;0;0.041;0.081;0.122;0.162;0.207;0.252;0.288;0.323;0.346;0.369;0.375;0.382;0.388;0.395;0.398;0.401;0.404;0.407;0.411;0.414;0.413;0.413;0.416;0.42;0.423;0.427;0.427;0.427;0.42;0.413;0.412;0.411;0.41;0.408;0.407;0.406;0.404;0.403;0.402;0.401;0.399;0.397;0.395;0.393;0.391;0.389;0.387;0.385;0.383;0.381;0.377;0.373;0.369;0.365;0.362;0.358;0.354;0.35;0.346;0.342;0.338;0.334;0.33;0.326;0.322;0.318;0.314;0.31;0.306;0.302
3;0;0.061;0.122;0.182;0.243;0.31;0.378;0.432;0.485;0.519;0.553;0.563;0.573;0.583;0.592;0.597;0.601;0.606;0.611;0.616;0.621;0.62;0.619;0.625;0.63;0.635;0.64;0.64;0.64;0.63;0.62;0.618;0.616;0.614;0.612;0.611;0.609;0.607;0.605;0.603;0.601;0.598;0.595;0.592;0.589;0.587;0.584;0.581;0.578;0.575;0.572;0.566;0.56;0.554;0.548;0.542;0.536;0.53;0.524;0.518;0.513;0.507;0.501;0.495;0.489;0.483;0.477;0.471;0.465;0.459;0.453
4;0;0.081;0.162;0.243;0.324;0.414;0.504;0.575;0.647;0.692;0.737;0.751;0.764;0.777;0.789;0.795;0.801;0.808;0.815;0.821;0.828;0.827;0.825;0.833;0.84;0.847;0.853;0.853;0.853;0.84;0.827;0.824;0.822;0.819;0.817;0.814;0.811;0.809;0.806;0.804;0.801;0.797;0.794;0.79;0.786;0.782;0.778;0.774;0.77;0.767;0.763;0.755;0.747;0.739;0.731;0.723;0.715;0.707;0.699;0.691;0.683;0.675;0.667;0.66;0.652;0.644;0.636;0.628;0.62;0.612;0.604
5;0;0.101;0.202;0.304;0.405;0.517;0.63;0.719;0.808;0.865;0.922;0.938;0.955;0.971;0.987;0.994;1.002;1.01;1.018;1.027;1.035;1.033;1.032;1.041;1.05;1.058;1.067;1.067;1.067;1.05;1.033;1.03;1.027;1.024;1.021;1.017;1.014;1.011;1.008;1.005;1.002;0.997;0.992;0.987;0.982;0.977;0.973;0.968;0.963;0.958;0.953;0.943;0.934;0.924;0.914;0.904;0.894;0.884;0.874;0.864;0.854;0.844;0.834;0.824;0.815;0.805;0.795;0.785;0.775;0.765;0.755
6;0;0.122;0.243;0.365;0.486;0.621;0.756;0.863;0.97;1.038;1.106;1.126;1.146;1.165;1.184;1.193;1.202;1.212;1.222;1.232;1.242;1.24;1.238;1.249;1.26;1.27;1.28;1.28;1.28;1.26;1.24;1.236;1.232;1.229;1.225;1.221;1.217;1.213;1.21;1.206;1.202;1.196;1.19;1.185;1.179;1.173;1.167;1.161;1.156;1.15;1.144;1.132;1.12;1.108;1.096;1.084;1.073;1.061;1.049;1.037;1.025;1.013;1.001;0.989;0.977;0.966;0.954;0.942;0.93;0.918;0.906
7;0;0.142;0.284;0.425;0.567;0.724;0.882;1.007;1.132;1.211;1.29;1.314;1.337;1.359;1.381;1.392;1.402;1.414;1.426;1.437;1.449;1.447;1.444;1.457;1.47;1.482;1.493;1.493;1.493;1.47;1.447;1.442;1.438;1.433;1.429;1.425;1.42;1.416;1.411;1.407;1.402;1.396;1.389;1.382;1.375;1.369;1.362;1.355;1.348;1.341;1.335;1.321;1.307;1.293;1.279;1.265;1.251;1.237;1.224;1.21;1.196;1.182;1.168;1.154;1.14;1.126;1.113;1.099;1.085;1.071;1.057
8;0;0.162;0.324;0.486;0.648;0.828;1.008;1.151;1.293;1.384;1.475;1.501;1.528;1.553;1.579;1.591;1.603;1.616;1.629;1.643;1.656;1.653;1.651;1.665;1.68;1.693;1.707;1.707;1.707;1.68;1.653;1.648;1.643;1.638;1.633;1.628;1.623;1.618;1.613;1.608;1.603;1.595;1.587;1.579;1.572;1.564;1.556;1.549;1.541;1.533;1.525;1.509;1.494;1.478;1.462;1.446;1.43;1.414;1.398;1.383;1.367;1.351;1.335;1.319;1.303;1.287;1.271;1.256;1.24;1.224;1.208
9;0;0.182;0.364;0.547;0.729;0.931;1.134;1.294;1.455;1.557;1.659;1.689;1.719;1.748;1.776;1.789;1.803;1.818;1.833;1.848;1.863;1.86;1.857;1.874;1.89;1.905;1.92;1.92;1.92;1.89;1.86;1.854;1.849;1.843;1.837;1.832;1.826;1.82;1.814;1.809;1.803;1.794;1.786;1.777;1.768;1.76;1.751;1.742;1.733;1.725;1.716;1.698;1.68;1.662;1.645;1.627;1.609;1.591;1.573;1.555;1.538;1.52;1.502;1.484;1.466;1.448;1.43;1.413;1.395;1.377;1.359
