TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.001;0.001;0.002;0.003;0.003;0.002;0.002;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.002;-0.002;-0.003;-0.003;-0.004;-0.005;-0.005;-0.006;-0.006;-0.007;-0.007;-0.007;-0.007;-0.008;-0.008;-0.008;-0.008;-0.009;-0.009;-0.009;-0.009;-0.01;-0.01;-0.01;-0.01;-0.01;-0.011;-0.011;-0.011;-0.011;-0.011;-0.012;-0.012;-0.012;-0.012;-0.012;-0.013;-0.013;-0.013
2;0;0.002;0.003;0.005;0.006;0.005;0.005;0.004;0.003;0.002;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.002;-0.003;-0.004;-0.005;-0.007;-0.008;-0.009;-0.01;-0.011;-0.013;-0.013;-0.014;-0.014;-0.015;-0.015;-0.016;-0.016;-0.017;-0.017;-0.018;-0.018;-0.019;-0.019;-0.02;-0.02;-0.02;-0.021;-0.021;-0.022;-0.022;-0.022;-0.023;-0.023;-0.024;-0.024;-0.024;-0.025;-0.025;-0.026;-0.026
3;0;0.002;0.004;0.007;0.009;0.008;0.007;0.006;0.004;0.003;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.003;-0.005;-0.006;-0.008;-0.01;-0.012;-0.014;-0.015;-0.017;-0.019;-0.02;-0.021;-0.021;-0.022;-0.023;-0.024;-0.025;-0.025;-0.026;-0.027;-0.028;-0.028;-0.029;-0.029;-0.03;-0.031;-0.031;-0.032;-0.032;-0.033;-0.034;-0.034;-0.035;-0.035;-0.036;-0.037;-0.037;-0.038;-0.038;-0.039
4;0;0.003;0.006;0.009;0.012;0.011;0.009;0.007;0.005;0.003;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.001;-0.004;-0.006;-0.009;-0.011;-0.013;-0.016;-0.018;-0.021;-0.023;-0.025;-0.026;-0.027;-0.029;-0.03;-0.031;-0.032;-0.033;-0.034;-0.035;-0.036;-0.037;-0.038;-0.038;-0.039;-0.04;-0.041;-0.042;-0.042;-0.043;-0.044;-0.045;-0.046;-0.046;-0.047;-0.048;-0.049;-0.05;-0.05;-0.051;-0.052
5;0;0.004;0.007;0.011;0.015;0.013;0.012;0.009;0.007;0.004;0.002;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.002;-0.005;-0.008;-0.011;-0.014;-0.017;-0.02;-0.023;-0.026;-0.029;-0.032;-0.033;-0.034;-0.036;-0.037;-0.038;-0.04;-0.041;-0.042;-0.044;-0.045;-0.046;-0.047;-0.048;-0.049;-0.05;-0.051;-0.052;-0.053;-0.054;-0.055;-0.056;-0.057;-0.058;-0.059;-0.06;-0.061;-0.062;-0.063;-0.064;-0.065
6;0;0.005;0.009;0.013;0.018;0.016;0.014;0.011;0.008;0.005;0.002;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.002;-0.006;-0.009;-0.013;-0.016;-0.02;-0.024;-0.027;-0.031;-0.034;-0.038;-0.04;-0.041;-0.043;-0.044;-0.046;-0.048;-0.049;-0.051;-0.052;-0.054;-0.055;-0.056;-0.058;-0.059;-0.06;-0.061;-0.062;-0.064;-0.065;-0.066;-0.067;-0.068;-0.07;-0.071;-0.072;-0.073;-0.074;-0.076;-0.077;-0.078
7;0;0.005;0.01;0.016;0.021;0.019;0.016;0.013;0.009;0.006;0.002;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.002;-0.007;-0.011;-0.015;-0.019;-0.023;-0.028;-0.032;-0.036;-0.04;-0.044;-0.046;-0.048;-0.05;-0.052;-0.054;-0.056;-0.057;-0.059;-0.061;-0.063;-0.064;-0.066;-0.067;-0.069;-0.07;-0.071;-0.073;-0.074;-0.076;-0.077;-0.078;-0.08;-0.081;-0.083;-0.084;-0.085;-0.087;-0.088;-0.09;-0.091
8;0;0.006;0.012;0.018;0.024;0.021;0.019;0.015;0.011;0.007;0.003;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.003;-0.007;-0.012;-0.017;-0.022;-0.027;-0.031;-0.036;-0.041;-0.046;-0.051;-0.053;-0.055;-0.057;-0.059;-0.061;-0.063;-0.066;-0.068;-0.07;-0.072;-0.074;-0.075;-0.077;-0.078;-0.08;-0.082;-0.083;-0.085;-0.086;-0.088;-0.09;-0.091;-0.093;-0.094;-0.096;-0.098;-0.099;-0.101;-0.102;-0.104
9;0;0.007;0.013;0.02;0.027;0.024;0.021;0.017;0.012;0.008;0.003;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.003;-0.008;-0.014;-0.019;-0.025;-0.03;-0.035;-0.041;-0.046;-0.052;-0.057;-0.059;-0.062;-0.064;-0.067;-0.069;-0.071;-0.074;-0.076;-0.079;-0.081;-0.083;-0.085;-0.086;-0.088;-0.09;-0.092;-0.094;-0.095;-0.097;-0.099;-0.101;-0.103;-0.104;-0.106;-0.108;-0.11;-0.112;-0.113;-0.115;-0.117
