TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.004;0.007;0.011;0.014;0.018;0.021;0.065;0.108;0.088;0.067;0.112;0.156;0.185;0.213;0.22;0.228;0.209;0.19;0.171;0.152;0.144;0.137;0.129;0.122;0.114;0.106;0.099;0.091;0.084;0.076;0.068;0.061;0.053;0.046;0.038;0.03;0.023;0.015;0.008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0.007;0.014;0.021;0.028;0.035;0.043;0.129;0.216;0.175;0.135;0.224;0.313;0.369;0.426;0.44;0.455;0.417;0.38;0.342;0.304;0.289;0.273;0.258;0.243;0.228;0.213;0.198;0.182;0.167;0.152;0.137;0.122;0.106;0.091;0.076;0.061;0.046;0.03;0.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0.011;0.021;0.032;0.043;0.053;0.064;0.194;0.323;0.263;0.202;0.335;0.469;0.554;0.638;0.661;0.683;0.626;0.569;0.513;0.456;0.433;0.41;0.387;0.365;0.342;0.319;0.296;0.273;0.251;0.228;0.205;0.182;0.16;0.137;0.114;0.091;0.068;0.046;0.023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0.014;0.028;0.043;0.057;0.071;0.085;0.258;0.431;0.35;0.269;0.447;0.625;0.738;0.851;0.881;0.91;0.835;0.759;0.683;0.608;0.577;0.547;0.517;0.486;0.456;0.425;0.395;0.365;0.334;0.304;0.273;0.243;0.213;0.182;0.152;0.122;0.091;0.061;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0.018;0.035;0.053;0.071;0.089;0.106;0.323;0.539;0.438;0.337;0.559;0.781;0.923;1.064;1.101;1.138;1.043;0.949;0.854;0.76;0.722;0.684;0.646;0.608;0.57;0.532;0.494;0.456;0.418;0.38;0.342;0.304;0.266;0.228;0.19;0.152;0.114;0.076;0.038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0.021;0.043;0.064;0.085;0.106;0.128;0.387;0.647;0.525;0.404;0.671;0.938;1.107;1.277;1.321;1.366;1.252;1.139;1.025;0.912;0.866;0.82;0.775;0.729;0.684;0.638;0.593;0.547;0.501;0.456;0.41;0.365;0.319;0.273;0.228;0.182;0.137;0.091;0.046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0.025;0.05;0.075;0.099;0.124;0.149;0.452;0.755;0.613;0.471;0.783;1.094;1.292;1.49;1.541;1.593;1.461;1.328;1.196;1.064;1.01;0.957;0.904;0.851;0.798;0.745;0.691;0.638;0.585;0.532;0.479;0.425;0.372;0.319;0.266;0.213;0.16;0.106;0.053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.028;0.057;0.085;0.114;0.142;0.17;0.516;0.862;0.7;0.539;0.894;1.25;1.476;1.702;1.762;1.821;1.67;1.518;1.367;1.216;1.155;1.094;1.033;0.972;0.912;0.851;0.79;0.729;0.669;0.608;0.547;0.486;0.425;0.365;0.304;0.243;0.182;0.122;0.061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0.032;0.064;0.096;0.128;0.16;0.192;0.581;0.97;0.788;0.606;1.006;1.406;1.661;1.915;1.982;2.049;1.878;1.708;1.538;1.367;1.299;1.231;1.162;1.094;1.026;0.957;0.889;0.82;0.752;0.684;0.615;0.547;0.479;0.41;0.342;0.273;0.205;0.137;0.068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
