TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.006;0.012;0.018;0.024;0.03;0.036;0.111;0.186;0.151;0.116;0.193;0.269;0.318;0.366;0.379;0.392;0.377;0.362;0.347;0.332;0.315;0.299;0.283;0.267;0.251;0.235;0.218;0.202;0.186;0.17;0.154;0.137;0.121;0.105;0.089;0.073;0.057;0.04;0.024;0.008;0.007;0.007;0.006;0.006;0.005;0.005;0.004;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0;0;0;0;0
2;0;0.012;0.024;0.036;0.049;0.061;0.073;0.222;0.371;0.302;0.232;0.385;0.539;0.636;0.733;0.758;0.784;0.754;0.724;0.693;0.663;0.631;0.599;0.566;0.534;0.502;0.469;0.437;0.404;0.372;0.34;0.307;0.275;0.243;0.21;0.178;0.146;0.113;0.081;0.048;0.016;0.015;0.014;0.013;0.011;0.01;0.009;0.008;0.007;0.006;0.004;0.004;0.004;0.004;0.003;0.003;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.001;0.001;0.001;0.001;0;0;0
3;0;0.018;0.036;0.055;0.073;0.091;0.109;0.333;0.557;0.453;0.348;0.578;0.808;0.953;1.099;1.137;1.176;1.131;1.085;1.04;0.995;0.946;0.898;0.849;0.801;0.752;0.704;0.655;0.607;0.558;0.51;0.461;0.412;0.364;0.315;0.267;0.218;0.17;0.121;0.073;0.024;0.022;0.021;0.019;0.017;0.015;0.014;0.012;0.01;0.008;0.007;0.006;0.006;0.006;0.005;0.005;0.005;0.004;0.004;0.004;0.003;0.003;0.003;0.002;0.002;0.002;0.001;0.001;0.001;0;0
4;0;0.024;0.049;0.073;0.097;0.121;0.146;0.444;0.742;0.603;0.464;0.771;1.077;1.271;1.465;1.516;1.568;1.507;1.447;1.387;1.327;1.262;1.197;1.133;1.068;1.003;0.938;0.874;0.809;0.744;0.679;0.615;0.55;0.485;0.42;0.356;0.291;0.226;0.162;0.097;0.032;0.03;0.027;0.025;0.023;0.02;0.018;0.016;0.013;0.011;0.009;0.008;0.008;0.007;0.007;0.007;0.006;0.006;0.005;0.005;0.004;0.004;0.003;0.003;0.003;0.002;0.002;0.001;0.001;0;0
5;0;0.03;0.061;0.091;0.121;0.152;0.182;0.555;0.928;0.754;0.581;0.964;1.346;1.589;1.831;1.895;1.96;1.884;1.809;1.734;1.658;1.577;1.497;1.416;1.335;1.254;1.173;1.092;1.011;0.93;0.849;0.768;0.687;0.607;0.526;0.445;0.364;0.283;0.202;0.121;0.04;0.037;0.034;0.031;0.028;0.026;0.023;0.02;0.017;0.014;0.011;0.01;0.01;0.009;0.009;0.008;0.008;0.007;0.007;0.006;0.005;0.005;0.004;0.004;0.003;0.003;0.002;0.002;0.001;0.001;0
6;0;0.036;0.073;0.109;0.146;0.182;0.219;0.666;1.114;0.905;0.697;1.156;1.616;1.907;2.198;2.275;2.351;2.261;2.171;2.08;1.99;1.893;1.796;1.699;1.602;1.505;1.407;1.31;1.213;1.116;1.019;0.922;0.825;0.728;0.631;0.534;0.437;0.339;0.242;0.145;0.048;0.045;0.041;0.038;0.034;0.031;0.027;0.024;0.02;0.017;0.013;0.012;0.012;0.011;0.01;0.01;0.009;0.008;0.008;0.007;0.007;0.006;0.005;0.005;0.004;0.003;0.003;0.002;0.001;0.001;0
7;0;0.043;0.085;0.128;0.17;0.213;0.255;0.777;1.299;1.056;0.813;1.349;1.885;2.224;2.564;2.654;2.743;2.638;2.533;2.427;2.322;2.208;2.095;1.982;1.869;1.755;1.642;1.529;1.416;1.302;1.189;1.076;0.962;0.849;0.736;0.623;0.509;0.396;0.283;0.169;0.056;0.052;0.048;0.044;0.04;0.036;0.032;0.028;0.023;0.019;0.015;0.014;0.014;0.013;0.012;0.011;0.011;0.01;0.009;0.008;0.008;0.007;0.006;0.005;0.005;0.004;0.003;0.002;0.002;0.001;0
8;0;0.049;0.097;0.146;0.194;0.243;0.292;0.888;1.485;1.207;0.929;1.542;2.154;2.542;2.93;3.033;3.135;3.015;2.894;2.774;2.653;2.524;2.394;2.265;2.136;2.006;1.877;1.747;1.618;1.488;1.359;1.229;1.1;0.97;0.841;0.712;0.582;0.453;0.323;0.194;0.064;0.06;0.055;0.05;0.046;0.041;0.036;0.031;0.027;0.022;0.017;0.017;0.016;0.015;0.014;0.013;0.012;0.011;0.01;0.01;0.009;0.008;0.007;0.006;0.005;0.004;0.003;0.003;0.002;0.001;0
9;0;0.055;0.109;0.164;0.219;0.273;0.328;0.999;1.671;1.358;1.045;1.734;2.424;2.86;3.296;3.412;3.527;3.392;3.256;3.121;2.985;2.839;2.694;2.548;2.403;2.257;2.111;1.966;1.82;1.674;1.529;1.383;1.237;1.092;0.946;0.8;0.655;0.509;0.364;0.218;0.072;0.067;0.062;0.056;0.051;0.046;0.041;0.035;0.03;0.025;0.02;0.019;0.018;0.017;0.016;0.015;0.014;0.013;0.012;0.011;0.01;0.009;0.008;0.007;0.006;0.005;0.004;0.003;0.002;0.001;0
