TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.003;0.006;0.008;0.011;0.014;0.017;0.059;0.102;0.088;0.074;0.134;0.195;0.246;0.297;0.324;0.352;0.352;0.352;0.352;0.352;0.341;0.329;0.317;0.305;0.293;0.281;0.27;0.258;0.246;0.234;0.222;0.21;0.199;0.187;0.175;0.163;0.151;0.139;0.128;0.116;0.109;0.101;0.094;0.087;0.08;0.072;0.065;0.058;0.051;0.044;0.041;0.039;0.037;0.035;0.033;0.031;0.029;0.027;0.025;0.023;0.021;0.019;0.017;0.015;0.013;0.01;0.008;0.006;0.004;0.002
2;0;0.006;0.011;0.017;0.022;0.028;0.033;0.118;0.203;0.175;0.148;0.268;0.389;0.491;0.594;0.649;0.704;0.704;0.704;0.704;0.705;0.681;0.657;0.634;0.61;0.586;0.563;0.539;0.516;0.492;0.468;0.445;0.421;0.397;0.374;0.35;0.326;0.303;0.279;0.255;0.232;0.217;0.203;0.188;0.174;0.159;0.145;0.13;0.116;0.102;0.087;0.083;0.079;0.075;0.071;0.066;0.062;0.058;0.054;0.05;0.046;0.042;0.037;0.033;0.029;0.025;0.021;0.017;0.013;0.008;0.004
3;0;0.008;0.017;0.025;0.033;0.042;0.05;0.177;0.305;0.263;0.221;0.403;0.584;0.737;0.89;0.973;1.055;1.056;1.056;1.057;1.057;1.022;0.986;0.951;0.915;0.88;0.844;0.809;0.773;0.738;0.702;0.667;0.631;0.596;0.56;0.525;0.489;0.454;0.418;0.383;0.347;0.326;0.304;0.282;0.261;0.239;0.217;0.196;0.174;0.152;0.131;0.124;0.118;0.112;0.106;0.1;0.093;0.087;0.081;0.075;0.069;0.062;0.056;0.05;0.044;0.038;0.031;0.025;0.019;0.013;0.007
4;0;0.011;0.022;0.033;0.044;0.056;0.067;0.237;0.406;0.351;0.295;0.537;0.778;0.983;1.187;1.297;1.407;1.408;1.408;1.409;1.41;1.362;1.315;1.268;1.22;1.173;1.126;1.078;1.031;0.984;0.936;0.889;0.842;0.794;0.747;0.7;0.653;0.605;0.558;0.511;0.463;0.434;0.405;0.377;0.348;0.319;0.29;0.261;0.232;0.203;0.174;0.166;0.158;0.149;0.141;0.133;0.125;0.116;0.108;0.1;0.091;0.083;0.075;0.067;0.058;0.05;0.042;0.034;0.025;0.017;0.009
5;0;0.014;0.028;0.042;0.056;0.069;0.083;0.296;0.508;0.439;0.369;0.671;0.973;1.228;1.484;1.621;1.759;1.76;1.76;1.761;1.762;1.703;1.644;1.584;1.525;1.466;1.407;1.348;1.289;1.23;1.171;1.111;1.052;0.993;0.934;0.875;0.816;0.757;0.697;0.638;0.579;0.543;0.507;0.471;0.435;0.398;0.362;0.326;0.29;0.254;0.218;0.207;0.197;0.187;0.176;0.166;0.156;0.145;0.135;0.125;0.114;0.104;0.094;0.083;0.073;0.063;0.052;0.042;0.032;0.021;0.011
6;0;0.017;0.033;0.05;0.067;0.083;0.1;0.355;0.61;0.526;0.443;0.805;1.167;1.474;1.781;1.946;2.111;2.112;2.112;2.113;2.114;2.043;1.972;1.901;1.83;1.759;1.688;1.618;1.547;1.476;1.405;1.334;1.263;1.192;1.121;1.05;0.979;0.908;0.837;0.766;0.695;0.652;0.608;0.565;0.522;0.478;0.435;0.391;0.348;0.305;0.261;0.249;0.237;0.224;0.212;0.199;0.187;0.174;0.162;0.15;0.137;0.125;0.112;0.1;0.088;0.075;0.063;0.05;0.038;0.025;0.013
7;0;0.019;0.039;0.058;0.078;0.097;0.117;0.414;0.711;0.614;0.517;0.939;1.362;1.72;2.078;2.27;2.462;2.463;2.465;2.466;2.467;2.384;2.301;2.218;2.135;2.053;1.97;1.887;1.804;1.722;1.639;1.556;1.473;1.39;1.308;1.225;1.142;1.059;0.976;0.894;0.811;0.76;0.71;0.659;0.608;0.558;0.507;0.457;0.406;0.355;0.305;0.29;0.276;0.261;0.247;0.232;0.218;0.204;0.189;0.175;0.16;0.146;0.131;0.117;0.102;0.088;0.073;0.059;0.044;0.03;0.015
8;0;0.022;0.044;0.067;0.089;0.111;0.133;0.473;0.813;0.702;0.591;1.074;1.556;1.965;2.374;2.594;2.814;2.815;2.817;2.818;2.819;2.724;2.63;2.535;2.441;2.346;2.251;2.157;2.062;1.967;1.873;1.778;1.684;1.589;1.494;1.4;1.305;1.21;1.116;1.021;0.927;0.869;0.811;0.753;0.695;0.638;0.58;0.522;0.464;0.406;0.348;0.332;0.315;0.299;0.282;0.266;0.249;0.233;0.216;0.199;0.183;0.166;0.15;0.133;0.117;0.1;0.084;0.067;0.051;0.034;0.017
9;0;0.025;0.05;0.075;0.1;0.125;0.15;0.532;0.915;0.789;0.664;1.208;1.751;2.211;2.671;2.919;3.166;3.167;3.169;3.17;3.171;3.065;2.959;2.852;2.746;2.639;2.533;2.426;2.32;2.213;2.107;2;1.894;1.788;1.681;1.575;1.468;1.362;1.255;1.149;1.042;0.977;0.912;0.847;0.782;0.717;0.652;0.587;0.522;0.457;0.392;0.373;0.355;0.336;0.318;0.299;0.28;0.262;0.243;0.224;0.206;0.187;0.169;0.15;0.131;0.113;0.094;0.075;0.057;0.038;0.02
10;0;0.028;0.056;0.083;0.111;0.139;0.167;0.591;1.016;0.877;0.738;1.342;1.946;2.457;2.968;3.243;3.518;3.519;3.521;3.522;3.524;3.406;3.287;3.169;3.051;2.932;2.814;2.696;2.578;2.459;2.341;2.223;2.104;1.986;1.868;1.75;1.631;1.513;1.395;1.277;1.158;1.086;1.014;0.941;0.869;0.797;0.725;0.652;0.58;0.508;0.436;0.415;0.394;0.374;0.353;0.332;0.311;0.291;0.27;0.249;0.229;0.208;0.187;0.167;0.146;0.125;0.105;0.084;0.063;0.042;0.022
11;0;0.031;0.061;0.092;0.122;0.153;0.183;0.651;1.118;0.965;0.812;1.476;2.14;2.702;3.265;3.567;3.869;3.871;3.873;3.875;3.876;3.746;3.616;3.486;3.356;3.226;3.096;2.965;2.835;2.705;2.575;2.445;2.315;2.185;2.055;1.925;1.794;1.664;1.534;1.404;1.274;1.195;1.115;1.036;0.956;0.877;0.797;0.718;0.638;0.559;0.479;0.456;0.434;0.411;0.388;0.365;0.343;0.32;0.297;0.274;0.252;0.229;0.206;0.183;0.161;0.138;0.115;0.092;0.069;0.047;0.024
12;0;0.033;0.067;0.1;0.133;0.167;0.2;0.71;1.219;1.053;0.886;1.61;2.335;2.948;3.562;3.891;4.221;4.223;4.225;4.227;4.229;4.087;3.945;3.803;3.661;3.519;3.377;3.235;3.093;2.951;2.809;2.667;2.525;2.383;2.241;2.1;1.958;1.816;1.674;1.532;1.39;1.303;1.216;1.13;1.043;0.956;0.87;0.783;0.696;0.609;0.523;0.498;0.473;0.448;0.423;0.399;0.374;0.349;0.324;0.299;0.274;0.25;0.225;0.2;0.175;0.15;0.125;0.101;0.076;0.051;0.026
13;0;0.036;0.072;0.108;0.145;0.181;0.217;0.769;1.321;1.14;0.96;1.744;2.529;3.194;3.858;4.216;4.573;4.575;4.577;4.579;4.581;4.427;4.273;4.12;3.966;3.812;3.658;3.505;3.351;3.197;3.043;2.89;2.736;2.582;2.428;2.275;2.121;1.967;1.813;1.659;1.506;1.412;1.318;1.224;1.13;1.036;0.942;0.848;0.754;0.66;0.566;0.539;0.512;0.486;0.459;0.432;0.405;0.378;0.351;0.324;0.297;0.27;0.243;0.217;0.19;0.163;0.136;0.109;0.082;0.055;0.028
14;0;0.039;0.078;0.117;0.156;0.195;0.233;0.828;1.423;1.228;1.034;1.879;2.724;3.439;4.155;4.54;4.925;4.927;4.929;4.931;4.933;4.768;4.602;4.437;4.271;4.105;3.94;3.774;3.609;3.443;3.277;3.112;2.946;2.781;2.615;2.449;2.284;2.118;1.953;1.787;1.622;1.52;1.419;1.318;1.217;1.116;1.015;0.913;0.812;0.711;0.61;0.581;0.552;0.523;0.494;0.465;0.436;0.407;0.378;0.349;0.32;0.291;0.262;0.233;0.204;0.175;0.146;0.117;0.088;0.059;0.03
15;0;0.042;0.083;0.125;0.167;0.208;0.25;0.887;1.524;1.316;1.107;2.013;2.918;3.685;4.452;4.864;5.276;5.279;5.281;5.283;5.286;5.108;4.931;4.753;4.576;4.399;4.221;4.044;3.866;3.689;3.512;3.334;3.157;2.979;2.802;2.624;2.447;2.27;2.092;1.915;1.737;1.629;1.521;1.412;1.304;1.195;1.087;0.979;0.87;0.762;0.653;0.622;0.591;0.56;0.529;0.498;0.467;0.436;0.405;0.374;0.343;0.312;0.281;0.25;0.219;0.188;0.157;0.126;0.095;0.064;0.033
