TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.006;0.012;0.018;0.023;0.029;0.035;0.108;0.18;0.146;0.113;0.187;0.261;0.308;0.355;0.368;0.38;0.372;0.364;0.355;0.347;0.335;0.324;0.312;0.3;0.289;0.277;0.265;0.254;0.242;0.231;0.219;0.207;0.196;0.184;0.172;0.161;0.149;0.138;0.126;0.114;0.107;0.1;0.093;0.085;0.078;0.071;0.064;0.057;0.05;0.042;0.04;0.038;0.036;0.034;0.032;0.03;0.028;0.026;0.024;0.022;0.02;0.018;0.016;0.014;0.012;0.01;0.008;0.006;0.004;0.002
2;0;0.012;0.023;0.035;0.047;0.059;0.07;0.215;0.36;0.293;0.225;0.374;0.523;0.616;0.71;0.735;0.76;0.744;0.727;0.71;0.694;0.67;0.647;0.624;0.601;0.577;0.554;0.531;0.508;0.484;0.461;0.438;0.415;0.391;0.368;0.345;0.322;0.298;0.275;0.252;0.229;0.214;0.2;0.185;0.171;0.157;0.142;0.128;0.113;0.099;0.085;0.081;0.077;0.073;0.068;0.064;0.06;0.056;0.052;0.048;0.044;0.04;0.036;0.032;0.028;0.024;0.02;0.016;0.012;0.008;0.004
3;0;0.018;0.035;0.053;0.07;0.088;0.106;0.323;0.54;0.439;0.338;0.561;0.784;0.925;1.065;1.103;1.141;1.116;1.091;1.065;1.04;1.006;0.971;0.936;0.901;0.866;0.831;0.796;0.761;0.727;0.692;0.657;0.622;0.587;0.552;0.517;0.482;0.447;0.413;0.378;0.343;0.321;0.3;0.278;0.256;0.235;0.213;0.192;0.17;0.149;0.127;0.121;0.115;0.109;0.103;0.097;0.091;0.084;0.078;0.072;0.066;0.06;0.054;0.048;0.042;0.036;0.03;0.024;0.018;0.012;0.006
4;0;0.023;0.047;0.07;0.094;0.117;0.141;0.431;0.72;0.586;0.451;0.748;1.045;1.233;1.421;1.471;1.521;1.487;1.454;1.421;1.387;1.341;1.294;1.248;1.201;1.155;1.108;1.062;1.015;0.969;0.922;0.876;0.829;0.783;0.736;0.69;0.643;0.597;0.55;0.504;0.457;0.428;0.4;0.371;0.342;0.313;0.284;0.256;0.227;0.198;0.169;0.161;0.153;0.145;0.137;0.129;0.121;0.113;0.105;0.096;0.088;0.08;0.072;0.064;0.056;0.048;0.04;0.032;0.024;0.016;0.007
5;0;0.029;0.059;0.088;0.117;0.147;0.176;0.538;0.9;0.732;0.564;0.935;1.306;1.541;1.776;1.838;1.901;1.859;1.818;1.776;1.734;1.676;1.618;1.56;1.502;1.443;1.385;1.327;1.269;1.211;1.153;1.095;1.036;0.978;0.92;0.862;0.804;0.746;0.688;0.629;0.571;0.535;0.499;0.463;0.427;0.391;0.356;0.32;0.284;0.248;0.212;0.202;0.191;0.181;0.171;0.161;0.151;0.141;0.131;0.121;0.11;0.1;0.09;0.08;0.07;0.06;0.05;0.04;0.03;0.019;0.009
6;0;0.035;0.07;0.106;0.141;0.176;0.211;0.646;1.08;0.878;0.676;1.122;1.568;1.849;2.131;2.206;2.281;2.231;2.181;2.131;2.081;2.011;1.941;1.872;1.802;1.732;1.662;1.593;1.523;1.453;1.383;1.313;1.244;1.174;1.104;1.034;0.965;0.895;0.825;0.755;0.686;0.642;0.599;0.556;0.513;0.47;0.427;0.383;0.34;0.297;0.254;0.242;0.23;0.218;0.205;0.193;0.181;0.169;0.157;0.145;0.133;0.12;0.108;0.096;0.084;0.072;0.06;0.048;0.035;0.023;0.011
7;0;0.041;0.082;0.123;0.164;0.205;0.246;0.753;1.26;1.025;0.789;1.309;1.829;2.157;2.486;2.574;2.661;2.603;2.545;2.486;2.428;2.346;2.265;2.184;2.102;2.021;1.939;1.858;1.777;1.695;1.614;1.532;1.451;1.37;1.288;1.207;1.125;1.044;0.963;0.881;0.8;0.749;0.699;0.649;0.598;0.548;0.498;0.447;0.397;0.347;0.296;0.282;0.268;0.254;0.24;0.225;0.211;0.197;0.183;0.169;0.155;0.14;0.126;0.112;0.098;0.084;0.07;0.055;0.041;0.027;0.013
8;0;0.047;0.094;0.141;0.188;0.235;0.282;0.861;1.44;1.171;0.902;1.496;2.09;2.466;2.841;2.941;3.041;2.975;2.908;2.841;2.775;2.682;2.589;2.496;2.402;2.309;2.216;2.123;2.03;1.937;1.844;1.751;1.658;1.565;1.472;1.379;1.286;1.193;1.1;1.007;0.914;0.857;0.799;0.741;0.684;0.626;0.569;0.511;0.454;0.396;0.339;0.322;0.306;0.29;0.274;0.258;0.241;0.225;0.209;0.193;0.177;0.161;0.144;0.128;0.112;0.096;0.08;0.063;0.047;0.031;0.015
9;0;0.053;0.106;0.158;0.211;0.264;0.317;0.969;1.621;1.318;1.015;1.683;2.351;2.774;3.196;3.309;3.422;3.347;3.272;3.196;3.121;3.017;2.912;2.807;2.703;2.598;2.494;2.389;2.284;2.18;2.075;1.97;1.866;1.761;1.656;1.552;1.447;1.342;1.238;1.133;1.028;0.964;0.899;0.834;0.769;0.705;0.64;0.575;0.51;0.446;0.381;0.363;0.344;0.326;0.308;0.29;0.272;0.253;0.235;0.217;0.199;0.181;0.162;0.144;0.126;0.108;0.09;0.071;0.053;0.035;0.017
