TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0.001;0.001;0.001;0.001;0.002;0.003;0.002;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0;0;0;0;0;0
2;0;0;0.001;0.001;0.002;0.002;0.002;0.004;0.006;0.004;0.002;0.002;0.001;0.001;0.001;0;0;0;0;0;0;0;0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.002;-0.002;-0.002;-0.003;-0.003;-0.003;-0.003;-0.003;-0.004;-0.004;-0.004;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0;0;0
3;0;0.001;0.001;0.002;0.002;0.003;0.004;0.006;0.009;0.006;0.003;0.002;0.002;0.001;0.001;0;0;0;0;0;0;0;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.002;-0.003;-0.003;-0.003;-0.003;-0.004;-0.004;-0.004;-0.004;-0.005;-0.005;-0.005;-0.006;-0.005;-0.005;-0.005;-0.005;-0.005;-0.004;-0.004;-0.004;-0.004;-0.004;-0.004;-0.003;-0.003;-0.003;-0.003;-0.003;-0.002;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0;0;0
4;0;0.001;0.002;0.002;0.003;0.004;0.005;0.009;0.012;0.008;0.004;0.003;0.002;0.002;0.001;0.001;0;0;0;0;0;0;-0.001;-0.001;-0.001;-0.002;-0.002;-0.003;-0.003;-0.003;-0.004;-0.004;-0.004;-0.005;-0.005;-0.006;-0.006;-0.006;-0.007;-0.007;-0.007;-0.007;-0.007;-0.007;-0.006;-0.006;-0.006;-0.006;-0.005;-0.005;-0.005;-0.005;-0.004;-0.004;-0.004;-0.004;-0.003;-0.003;-0.003;-0.003;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;0;0;0
5;0;0.001;0.002;0.003;0.004;0.005;0.006;0.011;0.015;0.01;0.005;0.004;0.003;0.002;0.002;0.001;0;0;0;0;0;0;-0.001;-0.001;-0.002;-0.002;-0.003;-0.003;-0.004;-0.004;-0.005;-0.005;-0.006;-0.006;-0.006;-0.007;-0.007;-0.008;-0.008;-0.009;-0.009;-0.009;-0.009;-0.008;-0.008;-0.008;-0.007;-0.007;-0.007;-0.006;-0.006;-0.006;-0.006;-0.005;-0.005;-0.005;-0.004;-0.004;-0.004;-0.003;-0.003;-0.003;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;0;0
6;0;0.001;0.002;0.004;0.005;0.006;0.007;0.013;0.019;0.012;0.006;0.005;0.004;0.003;0.002;0.001;0;0;0;0;0;-0.001;-0.001;-0.002;-0.002;-0.003;-0.003;-0.004;-0.004;-0.005;-0.006;-0.006;-0.007;-0.007;-0.008;-0.008;-0.009;-0.009;-0.01;-0.011;-0.011;-0.011;-0.01;-0.01;-0.01;-0.009;-0.009;-0.009;-0.008;-0.008;-0.007;-0.007;-0.007;-0.006;-0.006;-0.006;-0.005;-0.005;-0.004;-0.004;-0.004;-0.003;-0.003;-0.003;-0.002;-0.002;-0.001;-0.001;-0.001;0;0
7;0;0.001;0.003;0.004;0.006;0.007;0.009;0.015;0.022;0.014;0.007;0.005;0.004;0.003;0.002;0.001;0;0;0;0;0;-0.001;-0.001;-0.002;-0.003;-0.003;-0.004;-0.005;-0.005;-0.006;-0.006;-0.007;-0.008;-0.008;-0.009;-0.01;-0.01;-0.011;-0.012;-0.012;-0.013;-0.013;-0.012;-0.012;-0.011;-0.011;-0.01;-0.01;-0.01;-0.009;-0.009;-0.008;-0.008;-0.007;-0.007;-0.006;-0.006;-0.006;-0.005;-0.005;-0.004;-0.004;-0.003;-0.003;-0.003;-0.002;-0.002;-0.001;-0.001;0;0
8;0;0.002;0.003;0.005;0.007;0.008;0.01;0.017;0.025;0.016;0.008;0.006;0.005;0.004;0.003;0.001;0;0;0;0;0;-0.001;-0.001;-0.002;-0.003;-0.004;-0.004;-0.005;-0.006;-0.007;-0.007;-0.008;-0.009;-0.01;-0.01;-0.011;-0.012;-0.013;-0.013;-0.014;-0.015;-0.014;-0.014;-0.013;-0.013;-0.012;-0.012;-0.011;-0.011;-0.01;-0.01;-0.009;-0.009;-0.008;-0.008;-0.007;-0.007;-0.006;-0.006;-0.005;-0.005;-0.004;-0.004;-0.003;-0.003;-0.002;-0.002;-0.001;-0.001;0;0
9;0;0.002;0.004;0.006;0.007;0.009;0.011;0.019;0.028;0.018;0.008;0.007;0.006;0.004;0.003;0.001;0;0;0;0;0;-0.001;-0.002;-0.003;-0.003;-0.004;-0.005;-0.006;-0.007;-0.008;-0.008;-0.009;-0.01;-0.011;-0.012;-0.013;-0.013;-0.014;-0.015;-0.016;-0.017;-0.016;-0.016;-0.015;-0.014;-0.014;-0.013;-0.013;-0.012;-0.012;-0.011;-0.011;-0.01;-0.009;-0.009;-0.008;-0.008;-0.007;-0.007;-0.006;-0.006;-0.005;-0.004;-0.004;-0.003;-0.003;-0.002;-0.002;-0.001;-0.001;0
