TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.007;0.013;0.02;0.026;0.033;0.039;0.055;0.071;0.075;0.079;0.095;0.11;0.142;0.175;0.207;0.24;0.224;0.208;0.192;0.176;0.181;0.185;0.19;0.194;0.199;0.201;0.204;0.207;0.209;0.212;0.199;0.185;0.172;0.159;0.146;0.132;0.119;0.106;0.093;0.08;0.076;0.073;0.07;0.066;0.063;0.06;0.056;0.053;0.05;0.047;0.044;0.042;0.04;0.037;0.035;0.033;0.03;0.028;0.026;0.023;0.021;0.019;0.016;0.014;0.012;0.009;0.007;0.005;0.002;0
2;0;0.013;0.026;0.039;0.052;0.065;0.078;0.109;0.141;0.15;0.158;0.189;0.22;0.285;0.35;0.415;0.48;0.448;0.416;0.384;0.353;0.362;0.371;0.379;0.389;0.398;0.403;0.408;0.413;0.419;0.424;0.397;0.371;0.344;0.318;0.291;0.265;0.238;0.212;0.185;0.159;0.152;0.146;0.139;0.133;0.126;0.119;0.113;0.106;0.1;0.093;0.088;0.084;0.079;0.074;0.07;0.065;0.06;0.056;0.051;0.047;0.042;0.037;0.033;0.028;0.023;0.019;0.014;0.009;0.005;0
3;0;0.019;0.039;0.059;0.078;0.098;0.117;0.164;0.211;0.224;0.237;0.284;0.33;0.427;0.525;0.622;0.72;0.672;0.624;0.577;0.529;0.542;0.556;0.569;0.583;0.596;0.604;0.612;0.62;0.628;0.636;0.596;0.556;0.516;0.477;0.437;0.397;0.358;0.318;0.278;0.239;0.229;0.219;0.209;0.199;0.189;0.179;0.169;0.159;0.149;0.14;0.133;0.126;0.119;0.112;0.105;0.098;0.091;0.084;0.077;0.07;0.063;0.056;0.049;0.042;0.035;0.028;0.021;0.014;0.007;0
4;0;0.026;0.052;0.078;0.104;0.13;0.156;0.219;0.282;0.299;0.317;0.378;0.44;0.57;0.7;0.83;0.96;0.896;0.833;0.769;0.705;0.723;0.741;0.759;0.777;0.795;0.806;0.816;0.827;0.837;0.848;0.795;0.742;0.689;0.636;0.583;0.53;0.477;0.424;0.371;0.318;0.305;0.292;0.278;0.265;0.252;0.239;0.226;0.212;0.199;0.186;0.177;0.167;0.158;0.149;0.14;0.13;0.121;0.112;0.102;0.093;0.084;0.074;0.065;0.056;0.047;0.037;0.028;0.019;0.009;0
5;0;0.033;0.065;0.098;0.13;0.163;0.195;0.274;0.353;0.374;0.396;0.473;0.549;0.712;0.875;1.037;1.2;1.12;1.041;0.961;0.881;0.904;0.926;0.949;0.971;0.994;1.007;1.02;1.033;1.046;1.059;0.993;0.927;0.861;0.795;0.728;0.662;0.596;0.53;0.464;0.398;0.381;0.365;0.348;0.332;0.315;0.299;0.282;0.265;0.249;0.232;0.221;0.209;0.198;0.186;0.174;0.163;0.151;0.139;0.128;0.116;0.105;0.093;0.081;0.07;0.058;0.046;0.035;0.023;0.012;0
6;0;0.039;0.078;0.117;0.156;0.195;0.234;0.328;0.423;0.449;0.475;0.567;0.659;0.854;1.05;1.245;1.44;1.344;1.249;1.153;1.057;1.085;1.112;1.139;1.166;1.193;1.208;1.224;1.24;1.256;1.271;1.192;1.112;1.033;0.954;0.874;0.795;0.715;0.636;0.556;0.477;0.457;0.437;0.418;0.398;0.378;0.358;0.338;0.319;0.299;0.279;0.265;0.251;0.237;0.223;0.209;0.195;0.181;0.167;0.153;0.14;0.126;0.112;0.098;0.084;0.07;0.056;0.042;0.028;0.014;0
7;0;0.046;0.091;0.137;0.182;0.228;0.273;0.383;0.493;0.524;0.554;0.662;0.769;0.997;1.225;1.452;1.68;1.568;1.457;1.345;1.234;1.265;1.297;1.328;1.36;1.391;1.41;1.428;1.446;1.465;1.483;1.39;1.298;1.205;1.112;1.02;0.927;0.834;0.742;0.649;0.557;0.533;0.51;0.487;0.464;0.441;0.418;0.395;0.372;0.349;0.326;0.309;0.293;0.277;0.26;0.244;0.228;0.212;0.195;0.179;0.163;0.146;0.13;0.114;0.098;0.081;0.065;0.049;0.033;0.016;0
8;0;0.052;0.104;0.156;0.208;0.26;0.312;0.438;0.564;0.599;0.633;0.756;0.879;1.139;1.4;1.66;1.92;1.793;1.665;1.537;1.41;1.446;1.482;1.518;1.554;1.59;1.611;1.632;1.653;1.674;1.695;1.589;1.483;1.377;1.271;1.166;1.06;0.954;0.848;0.742;0.636;0.61;0.583;0.557;0.53;0.504;0.478;0.451;0.425;0.398;0.372;0.353;0.335;0.316;0.298;0.279;0.26;0.242;0.223;0.205;0.186;0.167;0.149;0.13;0.112;0.093;0.074;0.056;0.037;0.019;0
9;0;0.059;0.117;0.176;0.234;0.293;0.351;0.493;0.635;0.673;0.712;0.851;0.989;1.282;1.574;1.867;2.16;2.017;1.873;1.73;1.586;1.627;1.667;1.708;1.748;1.789;1.812;1.836;1.86;1.883;1.907;1.788;1.669;1.549;1.43;1.311;1.192;1.073;0.954;0.835;0.716;0.686;0.656;0.626;0.597;0.567;0.537;0.508;0.478;0.448;0.419;0.398;0.377;0.356;0.335;0.314;0.293;0.272;0.251;0.23;0.209;0.188;0.167;0.146;0.126;0.105;0.084;0.063;0.042;0.021;0
10;0;0.065;0.13;0.195;0.26;0.325;0.39;0.548;0.705;0.748;0.791;0.945;1.099;1.424;1.749;2.075;2.4;2.241;2.081;1.922;1.763;1.808;1.853;1.898;1.943;1.988;2.014;2.04;2.066;2.093;2.119;1.986;1.854;1.722;1.589;1.457;1.325;1.192;1.06;0.927;0.795;0.762;0.729;0.696;0.663;0.63;0.597;0.564;0.531;0.498;0.465;0.442;0.419;0.395;0.372;0.349;0.325;0.302;0.279;0.256;0.232;0.209;0.186;0.163;0.14;0.116;0.093;0.07;0.046;0.023;0
11;0;0.072;0.143;0.215;0.286;0.358;0.429;0.602;0.776;0.823;0.87;1.04;1.209;1.566;1.924;2.282;2.64;2.465;2.289;2.114;1.939;1.988;2.038;2.087;2.137;2.186;2.215;2.244;2.273;2.302;2.331;2.185;2.039;1.894;1.748;1.603;1.457;1.311;1.166;1.02;0.875;0.838;0.802;0.766;0.729;0.693;0.657;0.62;0.584;0.548;0.511;0.486;0.46;0.435;0.409;0.384;0.358;0.332;0.307;0.281;0.256;0.23;0.205;0.179;0.153;0.128;0.102;0.077;0.051;0.026;0
12;0;0.078;0.156;0.234;0.312;0.39;0.468;0.657;0.846;0.898;0.95;1.134;1.319;1.709;2.099;2.49;2.88;2.689;2.497;2.306;2.115;2.169;2.223;2.277;2.331;2.385;2.417;2.448;2.48;2.511;2.543;2.384;2.225;2.066;1.907;1.748;1.589;1.431;1.272;1.113;0.954;0.914;0.875;0.835;0.796;0.756;0.716;0.677;0.637;0.598;0.558;0.53;0.502;0.474;0.446;0.419;0.391;0.363;0.335;0.307;0.279;0.251;0.223;0.195;0.167;0.14;0.112;0.084;0.056;0.028;0
13;0;0.084;0.169;0.254;0.338;0.423;0.507;0.712;0.916;0.973;1.029;1.229;1.428;1.851;2.274;2.697;3.12;2.913;2.706;2.498;2.291;2.35;2.408;2.467;2.525;2.584;2.618;2.652;2.686;2.72;2.754;2.582;2.41;2.238;2.066;1.894;1.722;1.55;1.378;1.206;1.034;0.991;0.948;0.905;0.862;0.819;0.776;0.733;0.69;0.647;0.605;0.574;0.544;0.514;0.484;0.453;0.423;0.393;0.363;0.332;0.302;0.272;0.242;0.212;0.181;0.151;0.121;0.091;0.06;0.03;0
14;0;0.091;0.182;0.273;0.364;0.455;0.546;0.767;0.987;1.047;1.108;1.323;1.538;1.994;2.449;2.905;3.36;3.137;2.914;2.691;2.468;2.531;2.594;2.657;2.72;2.783;2.819;2.856;2.893;2.93;2.966;2.781;2.596;2.41;2.225;2.04;1.854;1.669;1.484;1.298;1.113;1.067;1.021;0.974;0.928;0.882;0.836;0.79;0.743;0.697;0.651;0.618;0.586;0.553;0.521;0.488;0.456;0.423;0.391;0.358;0.326;0.293;0.26;0.228;0.195;0.163;0.13;0.098;0.065;0.033;0
15;0;0.097;0.195;0.293;0.39;0.488;0.585;0.821;1.057;1.122;1.187;1.418;1.648;2.136;2.624;3.112;3.6;3.361;3.122;2.883;2.644;2.711;2.779;2.846;2.914;2.981;3.021;3.06;3.099;3.139;3.178;2.98;2.781;2.582;2.384;2.185;1.987;1.788;1.59;1.391;1.193;1.143;1.094;1.044;0.995;0.945;0.896;0.846;0.797;0.747;0.698;0.663;0.628;0.593;0.558;0.523;0.488;0.453;0.419;0.384;0.349;0.314;0.279;0.244;0.209;0.174;0.139;0.105;0.07;0.035;0
16;0;0.104;0.208;0.312;0.416;0.52;0.624;0.876;1.128;1.197;1.266;1.512;1.758;2.279;2.799;3.319;3.84;3.585;3.33;3.075;2.82;2.892;2.964;3.036;3.108;3.18;3.222;3.264;3.306;3.348;3.39;3.178;2.966;2.755;2.543;2.331;2.119;1.907;1.696;1.484;1.272;1.219;1.166;1.114;1.061;1.008;0.955;0.902;0.85;0.797;0.744;0.707;0.67;0.632;0.595;0.558;0.521;0.484;0.446;0.409;0.372;0.335;0.298;0.26;0.223;0.186;0.149;0.112;0.074;0.037;0
17;0;0.111;0.221;0.332;0.442;0.553;0.663;0.931;1.199;1.272;1.345;1.607;1.868;2.421;2.974;3.527;4.08;3.809;3.538;3.267;2.996;3.073;3.149;3.226;3.302;3.379;3.423;3.468;3.513;3.557;3.602;3.377;3.152;2.927;2.702;2.477;2.252;2.027;1.802;1.577;1.352;1.295;1.239;1.183;1.127;1.071;1.015;0.959;0.903;0.847;0.791;0.751;0.711;0.672;0.632;0.593;0.553;0.514;0.474;0.435;0.395;0.356;0.316;0.277;0.237;0.198;0.158;0.119;0.079;0.04;0
