TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.001;0.002;0.003;0.004;0.005;0.006;0.023;0.039;0.037;0.035;0.043;0.051;0.071;0.09;0.11;0.129;0.115;0.1;0.086;0.072;0.061;0.051;0.04;0.03;0.019;0.015;0.011;0.008;0.004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0.002;0.004;0.006;0.008;0.01;0.012;0.045;0.078;0.074;0.07;0.086;0.103;0.142;0.18;0.219;0.258;0.229;0.201;0.172;0.143;0.122;0.101;0.08;0.059;0.038;0.031;0.023;0.015;0.008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0.003;0.006;0.009;0.012;0.015;0.018;0.068;0.117;0.111;0.105;0.129;0.154;0.212;0.271;0.329;0.387;0.344;0.301;0.258;0.215;0.183;0.152;0.12;0.089;0.057;0.046;0.034;0.023;0.011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0.004;0.008;0.012;0.016;0.02;0.024;0.09;0.156;0.148;0.14;0.173;0.206;0.283;0.361;0.438;0.516;0.459;0.401;0.344;0.287;0.245;0.202;0.16;0.119;0.077;0.061;0.046;0.031;0.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0.005;0.01;0.015;0.02;0.025;0.03;0.113;0.195;0.185;0.174;0.216;0.257;0.354;0.451;0.548;0.645;0.573;0.502;0.43;0.358;0.306;0.253;0.201;0.148;0.096;0.077;0.057;0.038;0.019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0.006;0.012;0.018;0.024;0.03;0.036;0.135;0.234;0.222;0.209;0.259;0.308;0.425;0.541;0.658;0.774;0.688;0.602;0.516;0.43;0.367;0.304;0.241;0.178;0.115;0.092;0.069;0.046;0.023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0.007;0.014;0.021;0.028;0.035;0.042;0.158;0.273;0.259;0.244;0.302;0.36;0.495;0.631;0.767;0.903;0.803;0.702;0.602;0.501;0.428;0.354;0.281;0.207;0.134;0.107;0.08;0.054;0.027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.008;0.016;0.024;0.032;0.04;0.048;0.18;0.312;0.296;0.279;0.345;0.411;0.566;0.722;0.877;1.032;0.917;0.803;0.688;0.573;0.489;0.405;0.321;0.237;0.153;0.122;0.092;0.061;0.031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0.009;0.018;0.027;0.036;0.045;0.054;0.202;0.351;0.332;0.314;0.388;0.462;0.637;0.812;0.986;1.161;1.032;0.903;0.774;0.645;0.55;0.456;0.361;0.267;0.172;0.138;0.103;0.069;0.034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0.01;0.02;0.03;0.04;0.05;0.06;0.225;0.39;0.369;0.349;0.431;0.514;0.708;0.902;1.096;1.29;1.147;1.003;0.86;0.716;0.611;0.506;0.401;0.296;0.191;0.153;0.115;0.077;0.038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0.011;0.022;0.033;0.044;0.055;0.066;0.248;0.429;0.406;0.384;0.474;0.565;0.779;0.992;1.206;1.419;1.261;1.103;0.946;0.788;0.672;0.557;0.441;0.326;0.21;0.168;0.126;0.084;0.042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0.012;0.024;0.036;0.048;0.06;0.072;0.27;0.468;0.443;0.419;0.518;0.616;0.849;1.082;1.315;1.548;1.376;1.204;1.032;0.859;0.734;0.607;0.481;0.355;0.229;0.184;0.138;0.092;0.046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0.013;0.026;0.039;0.052;0.065;0.078;0.293;0.507;0.48;0.453;0.561;0.668;0.92;1.172;1.425;1.677;1.491;1.304;1.118;0.931;0.795;0.658;0.522;0.385;0.249;0.199;0.149;0.099;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0.014;0.028;0.042;0.056;0.07;0.084;0.315;0.546;0.517;0.488;0.604;0.719;0.991;1.263;1.534;1.806;1.605;1.404;1.204;1.003;0.856;0.709;0.562;0.415;0.268;0.214;0.161;0.107;0.054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
